"CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","KEYWORDS","URL","URLDATE","SOURCEID","ISBN","LANGUAGE","ABSTRACT","ISSN","SHORTTITLE","COLLABORATOR","COPYRIGHT","DOI","CFN","CLASS_LOC","DELIVERED","DOCUMENT_TYPE","FN","HHTYPE","INLG","LGCODE","MACRO_AREA","MPI_EVA_LIBRARY_SHELF","OCLC","SRC","SUBJECT_HEADINGS","LOCATION","GLOTTO","EXTRA_HASH","ASJP_NAME","AIATSIS_CALLNUMBER","AIATSIS_CODE","AIATSIS_REFERENCE_LANGUAGE","LANGUAGEID","MPIFN","OZBIB_ID","OZBIBREFTYPE","PUBLICATION","COUNTRY","SIL_ID","SUBJECT","OTHER_EDITIONS","FNNOTE","VARIETY","BESTTXT","LCCN","FILENAMES","ISO_CODE","OLAC_FIELD","REFDB_ID","WALS_CODE","AUTHOR_STATEMENT","NUMBEROFPAGES","OZBIBNOTE","LANGNOTE","LGFAMILY","ZURICHCODE","ZURICHNOTE","GULDEMANN_LOCATION","THESISTYPE","NOSHAREFN","PLACE","ABSTRACTNOTE","COLLECTION","DISPLAY"
"BOOK","27581","Canberra",NA,"Franklin, Karl J.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,"C-16",NA,"ix+138","Research School of Pacific and Asian Studies, Australian National University",NA,"Pacific Linguistics: Series C","A grammar of Kewa, New Guinea",NA,"16","1971","Kewa language Grammar word domains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"papua\franklin\_kewa-grammar1971\_o.pdf","PL6621.K4","papua\franklin\_kewa-grammar1971\_o.pdf","B","papua\franklin\_kewa-grammar1971\_o.pdf, papua\franklin\_kewa1971.pdf, papua\franklin\_kewa1971v2.pdf, papua/franklin\_kewa1971\_o.pdf","grammar","English [eng]","Kewa-West [kew]","Papunesia","PL 6621 .K4 FRA 1971","702380627","autotyp, hh, langsci, mpieva, sil16","Kewa language–Grammar, Kewa language–Grammar",NA,NA,NA,NA,NA,NA,NA,"130","kewa\_franklin1971\_o.pdf",NA,NA,NA,"Papua New Guinea [PG]","10710","Grammatical descriptions [GRD]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franklin 1971"
"BOOK","158579","Auckland",NA,"Capell, Arthur",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"55","Linguistic Society of New Zealand",NA,"Te Reo Monographs","The Polynesian Language of Mae (Emwae), New Hebrides",NA,"2","1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"papua\capell\_mae1962\_o.pdf","PL6474","papua\capell\_mae1962\_o.pdf","B","papua\capell\_mae1962\_o.pdf","grammar\_sketch","English [eng]","Emae [mmw]","Papunesia","PL 6474 CAP 1962","3585721","hh, mpieva, wals","Emae language, Emae language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capell 1962"
"BOOK","guiart_2013",NA,NA,"Guiart, Jean",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cultures on the Edge",NA,NA,"2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ngun1274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guiart 2013"
"MISC","lindsey_2017",NA,NA,"Lindsey, Kate",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ende Language Corpus",NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ende1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindsey 2017"
"MISC","Barth2017b",NA,NA,"Barth, Wolfgang",NA,NA,NA,NA,"NA","Personal Communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barth 2017"
"ARTICLE","nayacakalou_1957","Auckland",NA,"Nayacakalou, R. R.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Fijian system of kinship and marriage. Part II",NA,NA,"1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fiji1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Journal of the Polynesian Society. Volume 66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nayacakalou 1957"
"MISC","VesakoskyFinnish2017",NA,NA,"Vesakosky, Outi",NA,NA,NA,NA,"NA","Personal Communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fieldnotes",NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vesakosky 2017"
"MISC","ludvigson_1989",NA,NA,"Ludvigson, Tomas",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Aukland, Department of Anthropology",NA,NA,"Vara Kiai, a Kiai Wordlist",NA,NA,"1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fort1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ludvigson 1989"
"BOOK","68637","Canberra",NA,"Capell, Arthur",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"iv+252","Dept. of Linguistics, Research School of Pacific Studies, Australian Natl. Univ.",NA,"Pacific linguistics: Series C","Futuna-Aniwa dictionary, with grammatical introduction",NA,"56","1984",NA,NA,NA,NA,"9780858833166",NA,NA,NA,NA,NA,NA,NA,"papua\capell\_futuna-aniwa1984\_o.pdf","PL6436.Z5","papua\capell\_futuna-aniwa1984\_o.pdf","B","papua\capell\_futuna-aniwa1984.pdf, papua\capell\_futuna-aniwa1984\_o.pdf","grammar\_sketch;dictionary","English [eng]","Futuna-Aniwa [fut]","Papunesia","PL 6436 .Z5 CAP 1984","702445489","hh, mpieva, wals","Futuna-Aniwa language-Dictionaries-English, English language-Dictionaries-Futuna-Aniwa, Futuna-Aniwa language-Grammar, Futuna-Aniwa language-Dictionaries-English - English language-Dictionaries-Futuna-Aniwa - Futuna-Aniwa language-Grammar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capell 1984"
"BOOK","stokhof_1980","Canberra",NA,"Stokhof, W. A. L.; Saleh-Bronkhorst, Lia",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canberra: Pacific Linguistics, Australian National University",NA,NA,"Holle lists: vocabularies in languages of Indonesia Vol.2: Sula and Bacan islands, North Halmahera, South and East Halmahera",NA,NA,"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tido1248a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pacific Linguistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stokhof & Saleh-Bronkhorst 1980"
"MISC","KeenGanggalida2018",NA,NA,"Keen, Ian",NA,NA,NA,NA,"NA","Personal Communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fieldnotes",NA,NA,"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Keen 2018"
"BOOK","129547","Canberra",NA,"Eades, Domenyk",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"xxii+350","Research School of Pacific and Asian Studies, Australian National University",NA,"Pacific Linguistics","A grammar of Gayo: a language of Aceh, Sumatra",NA,"567","2005",NA,NA,NA,NA,"9780858835535",NA,NA,NA,NA,NA,NA,NA,"papua\eades\_gayo2005\_o.pdf",NA,"papua\eades\_gayo2005\_o.pdf","B","papua\eades\_gayo2005.pdf, papua\eades\_gayo2005\_o.pdf","grammar","English [eng]","Gayo [gay]","Papunesia","PL 5325 EAD 2005","61689497","hh, mpieva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eades 2005"
"PHDTHESIS","miller_1975",NA,NA,"Miller, Ingrid",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of London",NA,"Gela Syntax",NA,NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gela1263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miller 1975"
"MISC","Barth2017",NA,NA,"Barth, Wolfgang",NA,NA,NA,NA,"NA","Personal Communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barth 2017"
"MISC","ono_2019",NA,NA,"Ono, Hitomi",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gwii1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ono 2019"
"ARTICLE","powell_2002",NA,NA,"Powell, Fiona",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthropological Forum",NA,NA,"Transformations in Guugu Yimithirr kinship terminology",NA,NA,"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gugu1255",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthropological Forum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Powell 2002"
"BOOK","everett_2012",NA,NA,"Everett, Daniel",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vintage",NA,NA,"Language: The Cultural Tool",NA,NA,"2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hawa1245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Everett 2012"
"ARTICLE","durrad_1940","Sydney",NA,"Durrad, W. T.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"University of Sydney",NA,NA,"Notes on the Torres Islands (Continued)",NA,NA,"1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loto1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oceania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Durrad 1940"
"BOOK","49601","Canberra",NA,"Donohue, Mark; San Roque, Lila",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"xvii+131","Research School of Pacific and Asian Studies, Australian National University",NA,"Pacific Linguistics","I'saka: a sketch grammar of a language of north-central New Guinea",NA,"554","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"papua\donohue-sanroque\_isaka2004.pdf","PL6621.I50","papua\donohue-sanroque\_isaka2004.pdf","B","papua\donohue-sanroque\_isaka2004.pdf, papua\donohue\_isaka2004v2.pdf","grammar","English [eng]","Krisa [ksi]","Papunesia","PL 6621 .I50 DON 2004",NA,"hh, mpieva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Donohue & San Roque 2004"
"BOOK","harding_1970","New York",NA,"Harding, Thomas G.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cultures of the Pacific",NA,NA,"1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"iban1264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harding 1970"
"BOOK","gatan1981ibanag",NA,NA,"Gatan, M.; Mendez, P.P.; Jocano, F.L.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centro Escolar University Research and Development Center",NA,NA,"Ibanag Indigenous Religious Beliefs: A Study in Culture and Education",NA,NA,"1981",NA,"https://books.google.de/books?id=FGQLAAAAIAAJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82167969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gatan et al. 1981"
"PHDTHESIS","82814","Utrecht",NA,"Goudswaard, Nelleke",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"xix+520","LOT","Vrije Universiteit Amsterdam","LOT Dissertation Series","The Begak (Ida'an) Language of Sabah",NA,"107","2005",NA,"http://www.lotpublications.nl/publish/issues/Goudswaard/index.html",NA,NA,"9789076864730",NA,NA,NA,NA,NA,NA,NA,"papua\goudswaard\_begak2005\_s.pdf","P381.S23","papua\goudswaard\_begak2005\_s.pdf","B","papua\goudswaard\_begak-idaan2005\_o.pdf, papua\goudswaard\_begak2005\_s.pdf, papua/goudswaard\_begak2005\_s.pdf","grammar","English [eng]","Ida'an [dbj]","Papunesia","PL 5246 GOU 2005","783333598","hh, mpieva, phoible","Sabah –Languages –Phonology, Sabah –Languages –Phonology",NA,NA,NA,NA,NA,NA,NA,NA,"begak\_goudswaard2005\_s.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dbj\_goudswaard2005.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goudswaard 2005"
"MISC","Evans2016idi",NA,NA,"Evans, Nicholas; Nébni, Jimmy",NA,NA,NA,NA,"NA","Personal Communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fieldnotes",NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evans & Nébni 2016"
"BOOK","116668","Amsterdam",NA,"de Josselin de Jong, Jan Petrus Benjamin",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"152","Noord-Hollandsche Uitgevers-Maatschappij",NA,"Verhandelingen van het Koninklijke Nederlandsche Akademie van Wetenschappen, Adf.\textasciitilde Letterkunde: Nieuwe Reeks","Studies in Indonesian Culture II: The community of Erai (Wetar) (Texts and Notes)",NA,"L:2","1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"papua\dejosselindejong\_wetar1947pages\_o.pdf","ethnographic;grammar\_sketch;text","English [eng]","Erai = Ili'uun [ilu]","Papunesia",NA,NA,"hh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Josselin de Jong 1947"
"BOOK","108643","Quezon",NA,"Yamada, Yukihiro",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"244","Institute of Asian Studies, University of the Philippines",NA,NA,"A preliminary Itbayaten vocabulary",NA,NA,"1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wordlist","English [eng]","Itbayaten = Ivatan [ivv]","Papunesia",NA,"29254141","hh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yamada 1966"
"BOOK","33749","Canberra",NA,"de Vries, Lourens J.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,"560",NA,"xii+156","Research School of Pacific and Asian Studies, Australian National University",NA,"Pacific Linguistics","A short grammar of Inanwatan: an endangered language of the Bird's head of Papua, Indonesia",NA,"560","2004",NA,NA,NA,NA,"9780858835450",NA,NA,NA,NA,NA,NA,NA,"papua\devries\_inanwatan2004\_s.pdf","PL6621.I4",NA,"B","papua\deVries\_inanwatan2004v2\_o.pdf, papua\devries\_inanwatan2004\_o.pdf, papua\deVries\_inanwatan2004v2.pdf, papua\devries\_inanwatan2004\_s.pdf","grammar\_sketch","English [eng]","Suabo [szp]","Papunesia","PL 6621 .I4 DE 2004","58532681","hh, langsci, mpieva",NA,"Canberra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"de Vries 2004"
"BOOK","31209","Canberra",NA,"Verheijen, Jilis A. J.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,"Materials in languages of Indonesia No.\textasciitilde 32","70",NA,"viii+209+22","Research School of Pacific and Asian Studies, Australian National University",NA,"Pacific Linguistics: Series D","The Sama/Bajau Language in the Lesser Sunda Islands",NA,"70","1986","Bajau (Sama)",NA,NA,NA,"9780858833357",NA,NA,NA,NA,NA,NA,NA,"papua\verheijen\_sama1986\_o.pdf","PL5215","papua\verheijen\_sama1986\_o.pdf","B","papua\verheijen\_sama1986\_o.pdf, papua/verheijen\_sama1986\_o.pdf","grammar\_sketch;text;dictionary","English [eng]","Bajau-Indonesian [bdl]","Papunesia","PL 5215 VER 1986","15812599","hh, langsci, mpieva, phoible, wals","Bajau language–Grammar, Bajau language–Grammar","Canberra",NA,NA,NA,NA,NA,NA,NA,"sama\_verheijen1986\_o.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bdl","morphology","http://wals.info/refdb/record/864","baj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Verheijen 1986"
"MISC","unknown3_no_date",NA,NA,"unknown3",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no title",NA,NA,"no date",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"indo1316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown3 n.d."
"BOOK","128069","Canberra",NA,"Burenhult, Niclas",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"xiv+245","Research School of Pacific and Asian Studies, Australian National University",NA,"Pacific Linguistics","A grammar of Jahai",NA,"566","2005",NA,NA,NA,NA,"9780858835542",NA,NA,NA,NA,NA,NA,NA,"eurasia\burenhult\_jahai2005\_o.pdf","PL4444","eurasia\burenhult\_jahai2005\_o.pdf","B","eurasia\burenhult\_jahai2005\_o.pdf, eurasia/burenhult\_jahai2005\_o.pdf","grammar","English [eng]","Jehai [jhi]","Eurasia","PL 4444 BUR 2005","702445137","asjp2010, autotyp, hh, mpieva","Jehai language–Grammar, Jehai language–Grammar",NA,NA,NA,"Jehai",NA,NA,NA,"1682","jahai\_burenhult2005\_o.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Niclas Burenhult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burenhult 2005"
"MISC","robson_1987",NA,NA,"Robson, S. O.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brill",NA,NA,"The Terminology of Javanese Kinship",NA,NA,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"java1254",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bijdragen tot de Taal-, Land- en Volkenkunde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robson 1987"
"MISC","jinghpaw",NA,NA,"unknown",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown n.d."
"MISC","unknown_",NA,NA,"unknown source",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"djin1251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown source n.d."
"MISC","haddon_1907","Cambridge",NA,"Haddon, Alfred C.",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"The University Press",NA,NA,"Reports of the Cambridge Anthropological Expedition to Torres Straits",NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"meri1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haddon 1907"
"BOOK","303991","Canberra",NA,"Pawley, Andrew; Bulmer, Ralph",NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"xiii+810","Research School of Pacific and Asian Studies, Australian National University",NA,"Pacific Linguistics","A dictionary of Kalam with ethnographic notes",NA,"630","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"papua\pawley-bulmer\_kalam2011.pdf",NA,"papua\pawley-bulmer\_kalam2011.pdf",NA,"papua\pawley-bulmer\_kalam2011pages.pdf, papua\pawley-bulmer\_kalam2011.pdf","grammar\_sketch;dictionary","English [eng]","Kalam [kmh], also including divergent words from the outlying Ti dialect Tay = Tai [taw]","Papunesia",NA,"750403478","hh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pawley & Bulmer 2011"
